VAE_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
6+Y,"['Y0', 'Y2', 'Y5', 'Y6', 'Y7']",1.0,0.05,0.052,0.021,3,50,49
6+Y,"['Y0', 'Y5', 'Y6', 'Y7']",1.0,0.1,0.061,0.02,3,50,49
6+Y,"['Y0', 'Y1', 'Y5', 'Y6']",1.0,0.5,0.078,0.013,3,50,49
6+Y,"['Y0', 'Y1', 'Y5', 'Y6']",1.0,1,0.09,0.011,3,50,49
7+X,[],0.0,0.05,nan,nan,3,0,49
7+X,[],0.0,0.1,nan,nan,3,0,49
7+X,[],0.0,0.5,nan,nan,3,0,49
7+X,[],0.0,1,nan,nan,3,0,49
7+Y,"['Y2', 'Y4', 'Y5']",1.0,0.05,0.054,0.038,3,50,49
7+Y,"['Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.1,0.075,0.032,3,50,49
7+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6']",1.0,0.5,0.105,0.019,3,50,49
7+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6']",1.0,1,0.113,0.013,3,50,49
8+X,[],0.0,0.05,nan,nan,3,0,49
8+X,[],0.0,0.1,nan,nan,3,0,49
8+X,[],0.0,0.5,nan,nan,3,0,49
8+X,[],0.0,1,nan,nan,3,0,49
8+Y,"['Y0', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.05,0.046,0.025,3,50,49
8+Y,"['Y2', 'Y3', 'Y4', 'Y5']",1.0,0.1,0.065,0.017,3,50,49
8+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y7']",1.0,0.5,0.099,0.012,3,50,49
8+Y,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,1,0.109,0.009,3,50,49
9+X,[],0.0,0.05,nan,nan,3,0,49
9+X,[],0.0,0.1,nan,nan,3,0,49
9+X,[],0.0,0.5,nan,nan,3,0,49
9+X,[],0.0,1,nan,nan,3,0,49
9+Y,"['Y2', 'Y5', 'Y6']",1.0,0.05,0.028,0.01,3,50,49
9+Y,"['Y1', 'Y2', 'Y4', 'Y5', 'Y6']",1.0,0.1,0.047,0.012,3,50,49
9+Y,"['Y1', 'Y2', 'Y5', 'Y6']",1.0,0.5,0.082,0.014,3,50,49
9+Y,"['Y1', 'Y2', 'Y5', 'Y6']",1.0,1,0.093,0.012,3,50,49
0+Y,1.0
1+Y,1.0
2+Y,1.0
3+Y,0.995
4+Y,1.0
5+Y,1.0
6+Y,1.0
7+Y,1.0
8+Y,1.0
9+Y,1.0
